LMP09_D_S,Km2,Area_pcent
Upland (open),4924.91,23.17
Upland (wooded),4036.33,18.99
Lowland (wooded),3698.53,17.4
Lowland (open),3525.22,16.59
Upland (moorland),3241.11,15.25
Built land,1042.9,4.91
Coast,627.8100000000001,2.95
Water (inland),106.29,0.5
Amenity land,50.21,0.24
