unique(LMP$LMP14_D_S)
Upland (wooded hills)
Upland (grassland)
Upland (moorland)
Upland (wooded)
Developed (communities)
Water (inland)
Lowland valleys (open)
Developed (industry)
Lowland valleys (hedgerow)
Developed (amenity)
Coastal edge
Water (sea)
Lowland (wooded & wetland)
Upland (rock)
