CLS_3
Amenity Land
Barren/Rocky Upland
Cliffs & Cliff Tops
Derelict/Waste Ground
Dispersed Settlement
Dunes & Dune Slack
Estuary
Excavation
Flat Lowland Mosaic
Flat Open Lowland Farmland
Flat Wooded Lowland
Hill & Lower Plateau Grazing
Hill & Lower Plateau Moorland
Hill & Lower Plateau Mosaic
Hillside & Scarp Slopes Grazing
Hillside & Scarp Slopes Moorland
Hillside & Scarp Slopes Mosaic
Informal Open Space
Intertidal
Lake
Lowland Wetland
Mosaic Lowland Valleys
Mosaic Rolling Lowland
Mosaic Upland & Plateaux
NA
Open Hill & Lower Plateau
Open Hillside & Scarp Slopes
Open Lowland Valleys
Open Rolling Lowland
Open Upland Valleys
Open/Wooded Mosaic Upland Valleys
Other Costal Wild Land
Reservoir
River
Road Corridor
Sea
Small island
Upland Grazing
Upland Moorland
Urban
Village
Wooded Hill & Lower Plateau
Wooded Hillside& Scarp Slopes
Wooded Lowland Valleys
Wooded Rolling Lowland
Wooded Upland & Plateaux
Wooded Upland Valleys
